,Date,Title,Article,Category,Image_link,Article_link
0,26-1-20,"Constitution sacred, but Bharat Mata more sacred","The 70th anniversary of the Indian Republic is, to my mind, an occasion for satisfaction more than celebration. Yes, there are always the celebratory facet, as befits a traditional national holiday. But that is only to be expected. What is far more important is the quiet satisfaction that comes with the awareness that the path we chose after Independence has, the occasional hiccup notwithstanding, worked reasonably well.

This is not to say that other systems of public life would have been less rewarding. There was a strong case for the Constituent Assembly to adopt a presidential system with in-built federal features. Adopting such a system would not have compromised stability. Indeed, given the type of challenges India faced in the first decades after Independence, a presidential system would probably have made policy choices more purposeful. It may even have worked to the advantage of Jawaharlal Nehru who often complained that his world view and his priorities were insufficiently understood by the other stalwarts of the Congress.

Counter-factual history is always an interesting intellectual game. However, it is also purposeless. The fact is not merely that India opted for a Westminster model and a bicameral Parliament but that other alternatives weren’t seriously considered. That is not surprising. In the aftermath of Independence and with the world just about recovering from a devastating World War, single point leadership was viewed with suspicion. Maybe rightly so. Many of the former colonies that won freedom after 1947 quickly shifted from a parliamentary to a presidential system, with consequences that were undesirable.

India didn’t change course — although Indira Gandhi tried to in 1976 at the height of the Emergency — and it hasn’t really suffered.

Maybe the policy choices under a presidential system would have been more emphatic and, consequently, economic progress would have been more marked. However, in hindsight, that had less to do with the parliamentary system than with the flawed policy options exercised. The alternative, less-statist options that were proffered by stalwarts, could well have been accommodated within a parliamentary system. More to the point, a parliamentary system encouraged the development and consolidation of a party system that has certainly added to the democratic spirit. A presidential system may have done quite the opposite.

In any event, the role of a Constitution should not be over-stated. A Constitution is a valuable and, indeed, indispensable document without which a country can be held hostage to individual flights of whimsy. However, a Constitution stipulates the rules governing public life. It is important to have these rules as they delineate a Lakshman Rekha and defines self-restraint.

A Constitution, in the case of India, however, has its limits. India isn’t a treaty state as many European and African countries are. There was an India before the Queen’s Proclamation of 1858 and there was an India even before the Moghul kings set up a mighty empire. The boundaries of the state may have been defined by conquest and treaties but India as a nation — and a civilisational entity — had an autonomous existence, independent of the multiple kingdoms that existed in the subcontinent. The term ‘sacred geography’ is just one version of an India that operated at the level of a cultural entity.

The importance of stressing this on the 70th anniversary of the Indian Republic is obvious. There is an intellectual and political current in the country that would have us believe that the Constitution is the first and final word defining our national life. Without undermining its colossal importance in any way, it is necessary to affirm that Indian nationhood existed well before a Constitution was even imagined. It is a nationhood that, unlike European nations, isn’t based on the commonality of either language or a structured faith. It is based on cultural assumptions.

The term Hindu has often been used to define India. If used in a sense that proceeds on the belief that Hinduism is a codified religion with an established church and hierarchy, it would be wrong. India possesses a broadly shared culture that is loosely speaking described as Hindu. But it is a culture that cannot and should not be codified. Secularism was sought to be codified in 1976 by including the term in the Preamble. The results have been disastrous. There have been more disputes centred on secularism after 1976 than there were in the period 1950-1976, when secularism existed as an understanding.

The challenge India faces today is not one of a dysfunctional Constitution. The worry stems from an attempt to detach nationhood from citizenship and reduce India to a juridical tract, a plaything for clever lawyers and those who want to take culture away from our public life. The trend should and must be resisted.

Bharat Mata holds the Constitution in one hand. What she carries is important and even sacred. But no more important and sacred that Bharat Mata herself.",columnists,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/columnists/constitution-sacred--but--bharat-mata-more-sacred.html
1,26-1-20,Coronavirus: 7 more under observation,"Seven more people who returned from China have been kept under observation following screening for possible exposure to novel coronavirus. The Prime Minister’s Office on Saturday reviewed India’s preparedness to deal with the deadly syndrome and mounting global concern over growing number of cases in the neighbouring countries.

At a meeting chaired by PK Mishra, Principal Secretary to the PM, Health Ministry officials presented and updated about response measures being undertaken.

The meeting was held on the instructions of Prime Minister Narendra Modi.

The Cabinet Secretary, Home Secretary, Foreign Secretary, Defence Secretary, Health Secretary, Civil Aviation Secretary and several other top officials attended the meeting. They said health Ministry officials briefed Mishra on the preparedness of hospitals laboratories as well as measures being taken for the capacity building of rapid response teams to deal with possible case of coronavirus.

Principal secretary to the PM also reviewed the various preventive measures taken by other Ministries like the Ministry of Civil Aviation.

The officials assured Mishra that the situation is being closely monitored by the Ministry of Health and Family affairs in coordination with various other Union Ministries as well as State Governments and Union Territories. The sources said the National Institute of virology labs are fully equipped to test the virus and that all State and district health authorities have been alerted.

So far 20,000 people from 115 flights at seven international airports in the country have been screened.

Much to the relief to the authorities, in Mumbai, two persons, who were admitted to a civic hospital for possible exposure to coronavirus, have tested negative for the infection, while the blood sample of another person will be sent for testing to the National Institute of Virology (NIV) in Pune on Saturday, officials said.

To review the situation at the State level , Union Health Minister Harshvardhan has directed for multi-disciplinary Central teams to be sent to the seven States where thermal screening is being done at the seven designated airports --- New Delhi Bangaluru, Hyderabad, Mumbai, Kolkata and Cochin.

Vardhan, who held a review meeting to analyse the preparedness for prevention and management of noble coronavirus in India also spoke to the Chief Minister of Uttarakhand on screening at the border with Nepal where one confirmed case has been reported.

The Punjab Government has asked all district hospitals to put in place necessary arrangements to tackle any emergent situation in view of the outbreak of coronavirus in China, and said a team of doctors will be stationed at the Amritsar international airport starting Monday for screening passengers.

Nine people --- 7 in Kerala and one each in Bengaluru and Hyderabad who are among hundreds of passengers who returned from China in the recent days --- are under observation in hospital to check for possible exposure to the deadly novel coronavirus.",columnists,https://www.dailypioneer.com/uploads/2020/story/images/big/coronavirus---7-more-under--observation-2020-01-26.jpg,https://www.dailypioneer.com/2020/columnists/coronavirus---7-more-under--observation.html
2,26-1-20,Right-green coalition in Austria unviable,"Chancellor Sebastian Kurz has picked up where he left off, but this time with the Austrian Green Party. But how long the strange bedfellows can work together to stay in the Government is anybody’s guess as stakes are high for both, the People’s Party and the Green party

Sebastian Kurz, the youngest Chancellor of Austria at the age of 33, has just taken over as the Chancellor of the country for the second time. The People’s Party, known as Österreichische Volkspartei (OVP), he represents, is primarily a centre-right political party. However, it regards itself as a progressive centre party which is the successor of the Christian Social Party, established way back in the 1890s. In fact, the OVP came into being immediately after the reestablishment of the Republic of Austria in 1945.

Kurz became active in the politics of the OVP since the age of 16. As a law student in Vienna, he was elected to the post of the chairman of the youth wing of the party. By 2011, he left his studies to join as a junior Interior Minister and rose up to the rank of Foreign Minister in 2013, only at the age of 27. In 2015, when the whole Europe was plagued by massive immigration from war-torn nations of West Asia, he proposed a plan for immediate integration of these immigrant communities into the mainstream. But then he was all in praise for Hungary’s firebrand populist leader and Prime Minister Victor Orban. That was the time he was all against absorbing more immigrants from the troubled regions of West Asia and North Africa, such as Syria, Iraq, Libya, etc.

Also, Kurz credited Orban for closing the Balkan immigration route in 2016. It must be noted here that though the opposition in Hungary accuses him of backsliding when it comes to democratic freedoms, but he has remained undeterred in his shaping of a new polity what he likes to call as “illiberal democracy”. However the critics simply brand it as a semi-authoritarian state. With this kind of a liking, Kurz has fully endorsed a strong right turn in Austrian politics and of course change of tactics in coming elections.

Afterwards, he was elected chairman of the OVP in May 2017. Surprisingly he led the party to victory by garnering more than 31 per cent of the votes and became the Chancellor with the support from the far right FPO party from December 2017 to May 2019. His coalition government fell only when his coalition partner and its leader Heinz-Christian Strache were rocked by the historic Ibizagate scandal. Therefore, the party this time has dropped its former coalition partner, the FPO. The OVP was forced to stay away from this tie-up as the leader of the FPO, Strache, was caught offering bribe to a woman who posed as the niece of a Russian oligarch. And all these took place in Ibiza, one of the Balearic Islands of Spain located in the Mediterranean Sea. The Ibizagate trimmed down the voting share of the party to only 16 per cent, a sharp fall from 26 per cent in the last elections. The OVP has won 37 per cent of the votes, up from 31 per cent from the last election.

It is interesting to know the policies and programmes of the party as they are simply going to shape the future of Austria. The party is insisting on an immediate ban on the Identitarian Movement (also called as IBOe) once launched by the far-right. In fact, it came into light even before the general election in September. Further the OVP leader August Woeginger repeatedly reminded his party colleagues and the Austrian public that the ban on the Identitarian Movement would be a condition for making the next coalition Government of the country. The IBOe is famous for its anti-immigration agenda. But it has faced crisis as its leader Martin Sellner is accused of receiving money and exchanging e-mails with the suspected perpetrators of gun attacks on mosques in New Zealand, in which 51 people died.

Thus finally, the OVP has stitched an unlikely coalition with the Green Party, headed by Werner Kogler. Interestingly, the Greens achieved a historic win in this election by getting more than 13.9 per cent of the votes. But ironically, Kurz has been stressing for a proper centre-right coalition deal since the beginning of the snap poll that was held in September 2019. In that case, the FPO could have been the logical partner to deal with and form a government of their mutual interests. On the other hand, the FPO was seriously disturbed by internal differences. And the party also indicated in the recent past that it could very well go back and take the position of an opposition party.

Further, the old coalition i.e. OVP-SPO (Social Democratic Party) that survived the most parts of the post-World War II period seemed to be completely unviable today. This coalition is deeply unpopular among the Austrian electorate today, particularly among the youngsters. At the same time, Kurz, the new chairman of the party, has been criticising the new power-sharing system developed by both these parties as Proporz. Hence, there was no option left for Kurz, except aligning with the Greens.

For the first time in Austria, a female majority Government has come to power this month. And in the Cabinet of 17 Ministers in this Conservative-Green Government, 9 are women ministers. Kurz calls this coalition as the “best of both worlds”. But some say that it would be difficult for him to survive such an unusual tie-up. The reason behind is that how such a coalition of centre right and centre left would survive? It would be difficult for both the parties to further their own interests. There are high chances that their supporters and sympathisers would soon be disillusioned in the days to come. The ideological gap between the Greens and the OVP is too big. The OVP has a set agenda to cut taxes, deregulate, and reduce public expenditure whereas the Greens would like to go for new taxes on inheritance, carbon emissions and capital gains, want to engage in huge public infrastructure projects for building public transportation networks across the country. Again the Greens will find it really difficult to support Kurz on issues like tough stance on illegal immigration, slashing public funds for refugees and deporting asylum applicants upon receiving a negative notice even if they have jobs and successfully integrated with the Austrian society. Both the parties have strong differences over education and welfare reforms. His going with the Greens is a critical misreading of his long-term strategies. The ideological flexibility that he is displaying at the moment is simply overstated. He will simply pay for it in the near future. Many thought he is raising an illiberal democracy of Orban type in Hungary. But instead, it seems he is trying to cling to power even with the help of the Greens. His brand of politics may soon lose steam. And if cracks appear in the partnership, this will once again push Austria into a new uncertainty only.

Whatsoever it may be, people in Austria are just thinking ‘schau ma mal’ i.e. Let’s see. It is very apparent that it is a coalition that Kurz never wanted and many say that it is unlikely to last.

(The writer is an expert on international affairs)",columnists,https://www.dailypioneer.com/uploads/2020/story/images/big/right-green-coalition-in-austria-unviable-2020-01-26.jpg,https://www.dailypioneer.com/2020/columnists/right-green-coalition-in-austria-unviable.html
3,26-1-20,Desert Locust in Punjab: No immediate threat but vigilance needed,"In what could be an alarming sign for the farmers of Punjab, presence of locust hoppers in small numbers or groups (of five to 20 hoppers) have been found in districts of Fazilka, Sri Muktsar Sahib and Bathinda.

The surveillance by the scientists of Punjab Agricultural University at PAU Regional Research Station at Abohar and officials of the State department of Agriculture has revealed the presence of the locust hoppers, a Government statement said on Saturday.

The statement said these hoppers in small number or groups do not cause any economic damage to agricultural and horticultural crops unless they appear in swarms that comprise of hundreds of thousands of these hoppers.

“Recent surveys have confirmed the presence of locust hoppers in small numbers in Villages of Gumjal, Dangarkhera, Punjava, Panniwala Mahala, Arachiki, Bhangarkhera, Roopnagar, Bareka, Bakainwala, Haripura, Khuian Sarvar of district Fazilka and in Raniwala, Midda, Aspal, Virk Khera, Bhagsar and some other villages of Sri Muktsar Sahib,” the statement said.

Officials said the current excursions of desert locust hoppers are well monitored and suitable control measures are in place. They said these small non-breeding adult hopper groups do not carry serious threat and are not expected to cause economic damage to crops.

The farmers have been advised to be vigilant for the desert locust in their areas and need not to panic or opt for spraying of pesticides. “Whenever and wherever the population of desert locust is found exceeding the economical threshold level (10,000 adults/ha and 5-6 hoppers/bush), immediate control measures are pressed into operation by the LWO and State department officials,” the statement said.

Locust hoppers are easily identifiable; the young immature adults being pink in color while the old ones become dark grey or yellow with dark purple to black mandibles.

Dr PK Chhuneja, Head Department of Entomology at PAU Ludhiana, said the current spotting of locust hoppers in small numbers in Punjab do not carry serious threat but we need to guard against fresh incursions from across the border, in view of expected post-winter temperature rise and availability of crop vegetation over large contiguous area.

“The farmers of border districts of Punjab need to be more vigilant and inform the PAU or State department of Agriculture officials or the nearest Locust Circle office for any new incursions of desert locust, so that control measures, if required can be taken up to control the menace,” he said.

Officials said Locusts are the short-horned grasshoppers with highly migratory habit, marked polymorphism and voracious feeding behavior. India has not witnessed any full blown locust cycles after 1962, however, during 1978 and 1993, large scale upsurges were observed.

They said localised locust breeding has also been reported and controlled during the period 1998, 2002, 2005, 2007 and 2010. Since 2010, situation remained calm and no major breeding and swarm formation have been reported. However, solitary phase of desert locust has been reported from time to time at some locations in Rajasthan and Gujarat. The Locust Warning Organization (LWO) undertakes regular surveys in the scheduled desert area of Rajasthan and Gujarat to monitor the presence of desert locust and ecological conditions. During the survey, an assessment is made to determine, if the locust numbers have crossed the economic threshold level (ETL) which is 10,000 adults per hectare and 5-6 hoppers/bush that may require control.

Officials said immature/maturing adults/swarms of desert locust have been observed in some districts of Rajasthan and Gujarat since last month. “Appearance of locust in winter months is a new phenomenon and may be linked to climate change events,” the officials said.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/desert-locust-in-punjab--no-immediate-threat-but-vigilance-needed.html
4,26-1-20,Inbrief,"Voters’ Day celebrated in Khordha

Khordha: The Khordha district administration celebrated the National Voters’ Day here on Saturday. In the morning, Khordha ADM Manoranjan Mallick flagged off a Padayatra taken out by students from the Collectorate to the Panchayat Samiti office. Later, a meeting was organised at the Panchayat Samiti office and participants took oath. On the occasion, 20 youths were felicitated for winning in different competitions and new voters were provided with Voter-Id cards.

BJB HS observes Buxi Jagabandhu death anniv

Khordha: The BJB High School, Khordha organised a memorial meeting on the death anniversary of freedom struggler Buxi Jagabandhu on Friday under the chairmanship of teacher Prabhasini Mohanty. Former Headmaster Bhimsen Pradhan, Satyabadi Baliarsingh, Uma Sankar Prasad, Ram Shankar, Gopal Krushna Das, Dr Manoj Kumar Rout, Gyana Ranjan Dash, Prof Dillip Kumar Dora, Jyoti Narayan Verma, Krushna Chandra Harichandan, Bibhu Prasad Senapaty, Biranchi Narayan Sahu, Rajnikant Mishra, Prasanna Kumar Paikray, Anjan Kumar Ray and Anirudh Mohanty also paid tributes to the legendary freedom fighter.

Inter-State ATM looter held in Ganjam

Brahmapur: The Jarada police in Ganjam district arrested an inter-State ATM looter D Harihar recently. Earlier, he had been jailed in as many as 18 theft and dacoity cases. He committed some offences in Andhra Pradesh. After being released from jail, Harihar was indulged in withdrawing money from innocent people’s bank accounts by shrewdly exchanging ATM cards. He had withdrawn over Rs 15 lakh from ATM counters at different places in Ganjam and Kandhamal districts and in neighbouring Srikakulam district in Andhra Pradesh. Police seized Rs 36,000 in cash, a mobile phone, 16 ATM cards and a motorcycle from him. He was forwarded to court on Saturday.

Girl Child Day celebrated in Brahmapur

Brahmapur: The Samparka Mass Media and the Gosaninuagaon Siksha Mangal Samiti organised the National Girl Child Day at the KC Girls’ High School here on Friday. Sanat Kkumar Panda presided over the programme inaugurated by Headmistress Minakshi Mishra. Former Corporator Mamata Bishoyi, Dr Namitarani Panda, Parbati Pradhan and Samiti working prsisent Amata Sahu graced as guests. Speakers spoke on importance of girl child in the society and their protection. Utkalmani Cluster Garima awardee Headmistress Pratibha Kar and many women talents were felicitated. Kedarnath Choudhury proposed a vote of thanks.

Girl Child Day held in Gajapati

Paralakhemundi: The Zilla Swasthya Samiti celebrated the National Girl Child Day here on Friday. A rally was flagged off by CDMO Dr Pradeep Kumar Patro. ANM trainees and nurses participated in it. Later, a signature campaign titled “Kanya Santan Amulaya Sampad” was held in the Public Health Office premises. Thereafter, an awareness meeting was presided over by ADPHCO SK Jena. Dr Patro, District Malaria Officer Dr Chhanda Kanungo, departmental officer SK Das and ASHA Assistant Manager Narayan Mallick spoke on the need for the protection of girl children. Winners of a debate competition on girl child were felicitated.

P’khemundi Jr Women’s College annual day held

Paralakhemudi: The Paralakhemudi Junior Women’s College celebrated its annual day here on Saturday under chairmanship of Principal Dr Aruna Kumari Samal. Paralakhemudi MLA K Narayan Rao and Gajapati SP Sarah Sharma attended as guests. Dr Samal read out the annual report. On the occasion, a cultural programme was organised in which students performed. Among others, Ambika Devi, Dr Maneswini Das, Prasidha Mayee Roul, Indu Bhusan Sahu and Plus Three Women’s College Principal Dr Rina Sahu were present.

Marathon held on Voters’ Day in J’suguda

Jharusguda: A mini marathon was organised by the District Election Office and Jharsuguda district administration on the occasion of National Voters’ Day here on Saturday. Several participants took part in the mini-marathon, which started from Satsang Bhawan and culminated at 2nd Battalion OSAP Ground. Jharsuguda Collector Saroj Samal flagged of the marathon.

MCL funds: Library opens at Angul Sevashram

Sambalpur: A newly-constructed library-cum-meeting hall was inaugurated by Jagruti Mahila Mandal president Manjula Shukla at Narayan Sevashram of Kukudang village in Angul district on Saturday. With cost of Rs 8 lakh, the library-cum-meeting hall is constructed from the MCL CSR fund of Jagannath Area. She said the Sevasharm is going to be a major tourist attraction in the district and the library would be used as knowledge resource center and meditation hall for the visitors.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/inbrief-inbrief-2020-01-26.html
5,26-1-20,29 State cops to get medals on R-Day,"As many as 29 police personnel of Odisha will be awarded with police medals in three categories on the Republic Day.

Of them, 16 will receive the Police Medal for Gallantry, two will get the President’s Police Medal for distinguished service and 11 will be awarded the Police Medal for meritorious services.

SIs Gagan Bihari Nayak and Rajendra Choudhury, Havildars Krushnalok Behra and Sukhi Ram Rana, Constables Murali Manohar Dash, Maheshwar Dhakad, Manohar Bhumia, Siba Prasad Nayak, Bhabani Shankar Path, Arjuna Chandra Kurami, Binaya Kumar Mishra and Rajesh Kumar Dewan; Commandos Ganesh Dharua, Rabindra Kumar Parmanik, Padmanav Ray and Madan Mohan Padhan will get the Police Medal for Gallantry.

Biswanath Mishra (ASP), Balakrushna Nanda (Commandant), Bikash Ranjan Behura (DSP In-Charge), Susanta Kumar Biswal (DSP In-Charge), Ashis Kumar Mishra (Inspector), Dibakar Samantasinghar (SI), Santanu Kumar Dash (ASI), Pranab Kumar Nayak (ASI), Chitta Ranjan Ratha (Havildar), Narendra Kumar Rout (Constable) and Sk Dawood (Constable) will get the Police Medal.

RP Koche (L and O ADG) and Manoranjan Samal (ASI) will get the President’s Police Medal.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/29-state-cops-to-get-medals-on-r-day.html
6,26-1-20,Survey to ascertain exact number of persons with disabilities in Himachal,"The Himachal Government will conduct a survey in the state to ascertain the exact number of persons with disabilities, Rajiv Saizal, Social Justice and Empowerment Minister said while presiding over the first meeting of HP State Advisory Board on Disability.

Saizal said Chief Minister Jai Ram Thakur was very sensitive towards the problems of disabled people.

He said the government was implementing the Rights of Persons with Disabilities Act 2016 and it’s rules have already been framed.

He said,”Four percent seats at secondary level and 5 percent at higher level educational institutions has already been reserved for them. In government jobs, 4 per cent reservation is being provided to the disabled. Apart from this, unemployment allows of Rs. 1500 per month is also being given to the eligible disabled candidates.”",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/survey-to-ascertain-exact-number-of-persons-with-disabilities-in-himachal.html
7,26-1-20,Talk on Bhagabat from tomorrow,"The Chinmaya Mission, Bhubaneswar will organise Bhagabat Tatwa Chintan every evening from 6 pm to 8.30 pm during a five-day spiritual seminar to be held at the Bhanjakala Mandap here from Jan 27 to 31.

Monks and saints would present their view on all 12 parts of the Shrimad Bhagabat. While Nirbana Bhagawan Das would keep view on Jan 27, Baba Brajabandhu Das Maharaj on Jan 28, Swamini Rutujanandaji and Swami Jagadishanandaji on Jan 29, Swami Krushnapremandaji Saraswati on Jan 30 and Sacchidananda Das will deliver his views on Jan 31.

Bishnu Sahasranaam and Sankirtan would be recited before beginning of the programme. Mission chief Swami Sadananda Saraswati will guide the programmes.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/talk-on-bhagabat-from-tomorrow.html
8,26-1-20,B’pur youth begins cycle journey to Delhi,"To create awareness on the importance of plantation, a city youth, Damodar Achari, set out on a cycle journey from Brahmapur to New Delhi on Saturday morning.

Slogans like Paribesh Surakha Rakhantu (protect environment), Gachha Lagantu, Jeeban Banchantu (plant a tree, save a life) and Lagaile Chara, Hasiba Dharaa (Earth will smile if saplings planted) have been written on his posters. He said he would ride the cycle 80 to 100 km each day and expects to reach Delhi in 23 days. He has a plan to meet the Prime Minister in Delhi.

Earlier, Damaodra had undertaken a cycle journey from Brhampur to Tirupati to create awareness against AIDS.

Some good hearted people and a Class IV student of Ramahari Nagar Shishu Mandir, Sudipti Pradhan, provided some monetary support to him. Sudipti flagged off his rally. Among others, BJP district president Bibhuti Jena and Shishu Mandir Headmistress Sasthi Prasad Bishoi were present.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/b---pur-youth-begins-cycle-journey-to-delhi.html
9,26-1-20,"Minor gangraped in moving car, 2 arrested in Panipat","Even as Haryana on Friday observed National Girl Child Day, the same evening a shocking news came to light from Panipat where a 15-year-old girl was allegedly gangraped in a moving car by two youths in Model Town area. Four persons are reported to be allegedly involved in this crime, two of them have been arrested. Talking to The Pioneer, the Panipat Superintendent of Police Sumit Kumar on Saturday said that as per preliminary inquiry, two accused who are adults, identified as Ashish and Vishnu were allegedly involved in gang rape of the minor and both have been arrested. After lodging an FIR, Police are investigating the case to find out the involvement of other two persons who were also allegedly involved in the same crime.

The SP said two accused Ashish and Vishnu have been booked under Section 365 (Kidnapping) and 376-D (Gang Rape) of IPC and also under Section 6 of the Prevention of Children from Sexual Offences Act. The police have also recovered the car used in the crime. The Police officer said that she has been admitted in the hospital and her statement would be recorded before the magistrate on Monday. A team led by a woman sub-inspector has been formed and they are investigating the case thoroughly. “Things will become clearafter thorough investigation,” the Panipat SP said.

Police sources said in a state of unconsciousness, the minor was thrown near a park late on Friday evening. When the accused youth was throwing the minor student from the car, a few people saw it and caught the two youths in the car. She was then admitted to a local hospital. The victim did not return after attending a tuition class on Friday. The family members searched for her and later they came to know that she was found lying unconscious in the Model Town area.

Police sources said the victim went to her tuition at around 5 pm on Friday. One of the youths known to her called her near DAV park to celebrate a birthday. Four youths, who were having liquor in a car, forced her to take liquor and she fainted. She was later taken by two youths in a car and allegedly raped in the moving vehicle. After committing the crime, the accused left the girl near the park where her scooter was parked.

Ironically, despite claims of the State administration of taking measures to check crimes against women, it is only increasing. The Women’s Commission of the state received seven complaints of gang rape from various parts of the State over the last six months. As many as 99 rape cases were reported at Commission from April 15 to December 15.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/minor-gangraped-in-moving-car--2-arrested-in-panipat.html
