,Date,Title,Content,Category,Image_link,Article_link
0,2020/01/10,ATP Doha | Bopanna & Koolhof duo wins title,"Rohan Bopanna and Wesley Koolhof of the Netherlands defeated Luke Bambridge and Santiago Gonzalez 3-6, 6-2, [10-6] to win the first doubles title of the season in the $1,465,260 ATP tennis tournament here on Friday.

The third-seeded Indo-Dutch pair, which had earlier in the day knocked out the second seeds Henri Kontinen and Franco Skugor 7-5, 6-2, picked up 250 ATP points and $76,870.

Meanwhile, Ankita Raina entered the semifinals of the $25,000 ITF women’s event in Bendigo, Australia, with a walkover from third seed Sachia Vickery of the US.

In the $15,000 women’s event in Monastir, Tunisia, Zeel Desai made the singles semifinals with a straight-set victory over Martyna Kubka of Poland, and the doubles semifinals in with Anastasia Tikhonova.

The results:

$1,465,260 ATP, Doha: Doubles (final): Wesley Koolhof (Ned) & Rohan Bopanna bt Luke Bambridge (GBr) & Santiago Gonzalez (Mex) 3-6, 6-2, [10-6]. Semifinals: Koolhof & Bopanna bt Henri Kontinen (Fin) & Franko Skugor (Cro) 7-5, 6-2.

$25,000 ITF women, Bendigo, Australia: Quarterfinals: Ankita Raina w/o Sachia Vickery (US).

$15,000 ITF women, Monastir, Tunisia: Quarterfinals: Zeel Desai bt Martyna Kubka (Pol) 7-5, 6-4. Doubles: Anastasia Tikhonova (Rus) & Zeel bt Victoria Muntean (Fra) & Sabina Sharipova (Uzb) 5-7, 6-3, [12-10].",tennis,https://www.thehindu.com/sport/tennis/vedc9w/article30536949.ece/ALTERNATES/LANDSCAPE_615/TH11BOPS,https://www.thehindu.com/sport/tennis/atp-doha-bopanna-koolhof-duo-wins-title/article30536950.ece
1,2020/01/10,ATP Cup | Goffin upsets Nadal to keep Belgium alive in quarter-final,"David Goffin claimed an upset victory over world number one Rafael Nadal on Friday in Sydney to keep Belgium alive in their quarter-final clash at the inaugural ATP Cup team event.

Goffin, ranked 11 in the world, proved to be one of the few players who can handle Nadal's heavy spin, which he did with aplomb on both the return of serve and in general baseline play, to claim a 6-4 7-6(3) victory.

The tie will now be decided by a high-stakes doubles match, after Spain claimed the opening singles early in the evening when Roberto Bautista Agut defeated Kimmer Coppejans 6-1 6-4.

The winners of the deciding doubles will play Australia in Saturday's semi-final, while Serbia, led by world number two Novak Djokovic, take on Russia.

SERBIA ADVANCE

In the day session, Serbia's Novak Djokovic battled through a stirring challenge from rising Canadian star Denis Shapovalov to propel his country into the semi-finals with a 4-6 6-1 7-6(4) victory.

It was Djokovic's fifth victory over the 20-year-old Canadian in as many clashes but by far the toughest, after Shapovalov controlled significant portions of the match played in Australia's intense summer heat.

The victory, set up earlier by Serbia's Dusan Lajovic's upset win over Canadian teenager Felix Auger-Aliassime 6-4 6-2, means Serbia will play Russia in the semi-final, where Djokovic will face the in-form world number five Daniil Medvedev.

The vocal crowds appear to be playing a pivotal role in the latter stages of the team event, after lifting host nation Australia on Thursday and then Serbia on Friday. Djokovic said after the match he understood Shapovalov's frustration as the noise level kept threatening to interrupt play.

“They were so loud, they were engaged, sometimes a little bit too much,” said Djokovic.

“It was a Davis Cup-like atmosphere,” he said, referring to the traditional men's team tennis event to which the ATP Cup is being compared.

Djokovic lost the first set against the heavy-swinging Canadian and struggled very early in the second before momentum shifted abruptly.

After some late third-set drama, where the two exchanged breaks of serve, the match fittingly entered into a tiebreak.

Shapovalov looked the more likely to prevail - but the Serbian had a joker up his sleeve he has successfully deployed over the years in tense situations.

He simply refused to miss, daring his younger rival to find a way to hit seven winners and claim the tiebreak.

It was too much for the Canadian, and, after floating a ground stroke long, Djokovic raised his arms in victory.

Serbia join Australia and Russia in qualifying for the semi-finals.",tennis,https://www.thehindu.com/sport/tennis/xkdsx1/article30534630.ece/ALTERNATES/LANDSCAPE_615/TENNIS-ATPCUP,https://www.thehindu.com/sport/tennis/atp-cup-goffin-upsets-nadal-to-keep-belgium-alive-in-quarter-final/article30534631.ece
2,2020/01/10,How Big Tech is helping transform cars into smartphones,"Technology companies transformed smartphones and televisions into continuous fountains of revenue. Now, big tech wants to work with automakers to do the same thing for your car.

With the widespread rollout of autonomous vehicles still years away, the two industries have converged on the idea of cars providing services and features delivered “over the air” — that is, over the same wireless data networks used by smart phones.

Those services — streaming video, vehicle performance upgrades, dashboard commerce — could answer a pressing need for automakers. They need to learn how to milk their hardware for revenue long after vehicles roll off dealers’ lots. Tech companies see cars and the time people spend in them as a new frontier for growth.

Both auto and tech companies used the big CES technology show here this week to showcase their determination to make the vision of vehicles as connected revenue machines a reality. Cloud computing giants Amazon.com Inc and Microsoft Corp were in the forefront, chasing the opportunity to manage torrents of data flowing to and from connected vehicles.

It’s absolutely huge, General Motors Co President Mark Reuss said in December of the opportunities to generate revenue after a vehicle is sold by providing streamed services and over-the-air upgrades facilitated by GM’s new high-capacity on-board electrical system.

The pivot comes at a time when global automakers are looking for fresh revenue sources as sales slow and as rising costs to comply with tougher emissions standards threaten profit margins. Shares of legacy automakers such as Ford Motor Co and GM badly lagged broader market indexes in 2019. The contrast is Tesla Inc, whose market cap on Wednesday for the first time exceeded Ford and GM’s combined market values.

Tesla pioneered the model for charging for over-the-air upgrades, now asking customers to pay $6,000 to turn on the full self-driving option.

Other automakers are eager to try their hand at turning cars into upgradeable, revenue-generating gadgets.

Chinese carmaker Byton’s new M-Byte sedan features a 48-inch screen as a dashboard, as well as a steering-wheel display and a digital tablet for passengers. When parked, the car can be an office, enabling video conference calls, or a roadside cinema.

BMW showed at its CES display a concept of its future interior with reclining lounge chairs and a wind-shield with augmented reality built in to annotate the road ahead. BMW executive Klaus Froehlich told Reuters that the automaker is seeking approval from the National Highway Traffic Safety Administration to get U.S. approval for the seats, but could not say when they would appear in production.

Tech companies and suppliers want to accelerate the transformation of vehicles into subscription bundle-ready machines by helping automakers sort out the tangle of computer chips that make most current vehicles difficult or impossible to upgrade over the air.

The current crazy quilt of vehicle processors is not cost-effective, and it’s hard to get (vehicles) developed and launched so that everything works all the time, said Glen De Vos, chief technology officer of auto supplier Aptiv Plc. Aptiv’s solution: A new Smart Vehicle Architecture that consolidates most computerised functions.

Harman, a unit of Samsung Electronics Co Ltd, is also pushing a similar digital platform to control the flow of data in and out of the car. A centralized system, said Chief Executive Dinesh Paliwal, would help protect the car against hackers, who would have only one way in rather than dozens.

Harman, which supplies some of the technology that automakers, including Tesla, use to deliver the over-the-air upgrades, plans to sell its new vehicle computing brain with cybersecurity features built in. However, some car buyers will have to pay to turn it on.

Qualcomm Inc, which already provides the cellular modem chips that allow vehicles to connect to the Internet, introduced a more comprehensive computing system that can manage in-vehicle entertainment and help the car drive itself. One element is a much easier way for automakers and their partners to deliver feature upgrades, such as unlocking a better sound system already built into the car.

NXP Semiconductors is working on a chip that would serve as a gateway between the car and the cloud, to help automakers cope with the massive amounts of data that sensors and digital cockpits will create.

That data has to be stored and managed, and that’s where cloud computing providers such as Amazon Web Services come in. AWS announced at CES a partnership with BlackBerry to develop a new software platform for connected vehicles.",technology,https://www.thehindu.com/sci-tech/technology/5o4vt2/article30531325.ece/ALTERNATES/LANDSCAPE_615/10NETCARTECHBYTON,https://www.thehindu.com/sci-tech/technology/how-big-tech-is-helping-transform-cars-into-smartphones/article30531326.ece
3,2020/01/10,"Top news of the day: Nine suspects in JNU violence identified, claim police; ED attaches Chanda Kochhar, husband’s assets worth ₹78 crore, and more","Five days after the violence in Jawaharlal Nehru University (JNU), the Delhi Police, at a press conference on Friday, claimed that they had identified “nine suspects” for the attack by masked goons.

The Enforcement Directorate (ED) has attached assets worth ₹78 crore of former ICICI Bank's CEO and MD Chanda Kochhar and that of her husband's companies in connection with a money laundering case. The ED probe is based on an FIR registered by the CBI to probe allegations of quid pro quo in sanctioning loans to the companies of Videocon Group chief Venugopal Dhoot.

The Gujarat Legislative Assembly on Friday passed a resolution congratulating Prime Minister Narendra Modi and Union Home Minister Amit Shah for securing the passage of the Citizenship (Amendment) Act. The Congress opposed the resolution.

The Supreme Court on Friday ordered the government to “forthwith” review any existing orders that restrict basic rights and free movement in Jammu and Kashmir.

India has deployed its aircraft carrier INS Vikramaditya in the Arabian Sea at a time China and Pakistan are holding a nine-day mega naval exercise in the region, a move seen as New Delhi sending a signal to its two neighbours.

Delhi BJP on Friday announced its 15-member election committee, including party president Manoj Tiwari, for the Assembly polls to be held here on February 8.

The Supreme Court on Friday stayed a decision of the National Company Law Appellate Tribunal (NCLAT) to reinstate Cyrus Mistry as chairman of the multi-billion salt to software conglomerate Tata Sons.

Country’s second-largest IT services firm Infosys on Friday reported a 23.7% rise in consolidated net profit at ₹4,466 crore for the December quarter. The company had posted a net profit of ₹3,610 crore in the year-ago period, Infosys said in a BSE filing.

Reigning world champion P.V. Sindhu was knocked out of the Malaysia Masters Super 500 badminton tournament after losing in straight games to top seed Tai Tzu Ying here on Friday.

Andhra Pradesh Chief Minister (CM) Y.S. Jaganmohan Reddy, who appeared before the CBI special court here an hour ago on Friday, is likely to be inside the court hall at least till lunch break as formalities relating to his appearance in all the cases of quid pro quo have to be completed.

A Delhi court Friday put Trinamool Congress (TMC) MP Mahua Moitra on trial for allegedly defaming Zee Media Corporation Ltd.

Researchers have discovered an Earth-sized planet that lies in its star’s habitable zone — the range of distances from a star where conditions may be just right to allow the presence of liquid water on the surface. The planet was discovered using NASA’s Transiting Exoplanet Survey Satellite (TESS), the first Earth-sized planet that has been discovered since the satellite was launched in April 2018.",news,https://www.thehindu.com/news/db7rse/article30535387.ece/ALTERNATES/LANDSCAPE_615/SC-JampK-KESAVAN,https://www.thehindu.com/news/top-news-of-the-day-january-10-2020/article30535388.ece
4,2020/01/10,"Morning Digest: Supreme Court to rule on legality of J&K restrictions today, British MPs approve Brexit deal, and more","The Supreme Court will on January 10 pronounce its verdict on the legality of the restrictions on the fundamental freedom of movement and the shut-down of communications in Jammu and Kashmir since August 5 last.

Sops continue to rain in Assam amid the ongoing stir against the Citizenship (Amendment) Act.

Sarbananda Sonowal’s BJP-led coalition government on Thursday announced a set of sops for children, teachers, health workers and the differently abled. This follows a one-time grant for artists and technicians and land settlement deeds for landless indigenous people in the State.

A 15-member foreign envoys’ delegation arrived in Srinagar on a two-day visit to J&K and met over 100 people, including senior Valley-based politicians, top newspaper editors and grassroots representatives.

A second curative petition against the death sentence awarded to the convicts in the Nirbhaya gang rape and murder case was filed in the Supreme Court on Thursday.

Several students of the Jawaharlal Nehru University (JNU) on Thursday were beaten up by Delhi Police personnel as they tried to march towards Rashtrapati Bhavan after “unsatisfactory” talks with officials of the Ministry of Human Resource Development (MoHRD). At least four students received injuries when police used “mild force” to disperse the march. Around 11 students were also detained but later released.

Britain's parliament finally approved Brexit on Thursday, allowing it to become the first country to leave the European Union by the end of this month, ending years of arguments that toppled two governments and divided a nation.

India and Sri Lanka on Thursday discussed the “entire gamut of bilateral ties”, during talks between visiting Sri Lankan Minister of Foreign Relations, Skills Development, Employment and Labour Relations, Dinesh Gunawardena and External Affairs Minister S. Jaishankar here on Thursday.

In yet another sign of his willingness to work with colleague and friend Rajinikanth in politics, actor-politician Kamal Haasan on Thursday said he wanted the latter to help Tamil Nadu.

A Ukraine airliner that crashed in Iran, killing all 176 people aboard, was most likely brought down accidentally by Iranian anti-aircraft missiles, U.S. officials said on January 9.

Heavily armed assailants stormed a military base in Niger on Thursday killing 25 people and leading to fierce clashes that killed 63 “terrorists”, the defence ministry said, in an area where dozens died in a previous jihadist attack.

A directive by the Securities and Exchange Board of India (SEBI) for companies to disclose loan defaults at the end of every quarter has led to almost 60 listed entities disclosing a cumulative default amount of almost ₹75,000 crore as on December 31.

At the start of 2019, Kuldeep Yadav was on cloud nine. Having picked up a five-for in the Sydney Test, the chinaman bowler was billed as India’s premier spinner by head coach Ravi Shastri. By the end of the year, however, Kuldeep was struggling to keep his place in the team in all three formats.

Deepika Padukone’s performance and Meghna Gulzar’s direction ensure that Chhapaak is like a splash that leaves you misty with emotions, if not entirely drenched says Namrata Joshi

Despite A.R. Murugadoss offering very little substance for him to work with, the superstar just about manages to carry this film on his aging shoulders",news,https://www.thehindu.com/news/national/fkkjd0/article30526409.ece/ALTERNATES/LANDSCAPE_615/10TH-SRINAGARjpg,https://www.thehindu.com/news/morning-news-digest-january-10-2020/article30530463.ece
5,2020/01/10,US announces new sanctions on Iran after missile strikes,"The Trump administration on Friday announced a new wave of sanctions on Iran following this week’s missile strikes by the Islamic Republic on U.S. bases in Iraq.

Secretary of State Mike Pompeo and Treasury Secretary Steven Mnuchin said the new sanctions will target eight senior Iranian officials involved in “destabilising” activities in the Middle East as well as Tuesday’s missile strike, which came in retaliation for the US killing of a senior Iranian general in a drone strike.

Mr. Mnuchin said President Donald Trump will issue an executive order imposing sanctions on anyone involved in the Iranian textile, construction, manufacturing or mining sectors.

They will also impose separate sanctions against the steel and iron sectors.

“As a result of these actions we will cut off billions of dollars of support to the Iranian regime,” the treasury secretary said.

The administration has already reinstated all the US sanctions that were eased under the 2015 nuclear deal, which has caused significant economic hardship in Iran and cut its oil exports to historic lows.

Iran this week launched the strikes in retaliation for the US drone strike that killed Revolutionary Guard Gen. Qasem Soleimani, the country’s most powerful commander, in Baghdad last week.",international,https://www.thehindu.com/news/international/fwfqnd/article30537158.ece/ALTERNATES/LANDSCAPE_615/POMPEO-IRAN,https://www.thehindu.com/news/international/us-announces-new-sanctions-on-iran-after-missile-strikes/article30537159.ece
6,2020/01/10,Iranian missile downed airliner: Trudeau,"Canada Prime Minister Justin Trudeau said on Thursday multiple intelligence sources indicate that Iran shot down a Ukrainian airliner after it took off from Tehran, killing all 176 on board, including 63 Canadians.

Mr. Trudeau’s comments came as video emerged that appeared to show the moment the airliner was hit.

That and other footage posted on social media increasingly pointed to a catastrophic mistake by Tehran’s air defense batteries in bringing down Ukraine International Airlines Flight PS752 early on Wednesday.

The video, which The New York Times said it verified, shows a fast-moving object rising at an angle into the sky before a bright flash is seen, which dims and then continues moving forward. Several seconds later an explosion is heard.

Citing information from allies as well as Canada’s own intelligence, Mr. Trudeau said the plane appeared to have been hit by an Iranian surface-to-air (SAM) missile.

“We know this may have been unintentional. Canadians have questions, and they deserve answers,” Mr. Trudeau told reporters.

The U.S. National Transportation Safety Board late on Thursday said it had received formal notification of the crash from Iran and would send a representative to join the crash probe.

Iran’s Foreign Ministry earlier invited the U.S. plane maker Boeing to “participate” in the inquiry.

Mr. Trudeau said Canada was working with allies to ensure a credible probe. “The families of the victims want answers, Canadians want answers, I want answers,” he said.

With tensions high between the U.S. and Iran, the disaster unfolded just hours after Tehran launched ballistic missiles towards bases in Iraq housing U.S. troops.

Ukraine called for United Nations support for a broad investigation, and sent 45 crash investigators to Tehran to take part in the inquiry led by Iranian authorities.

“If any country has information that can help conduct a transparent and objective investigation into the tragedy, we are ready to receive it and cooperate in further verification,” the Ukraine presidency said in an English-language statement.

Tehran denies

Iran’s civil aviation chief denied on Friday that a missile downed the Ukrainian airliner, dismissing claims of a catastrophic mistake by Tehran’s air defences.

“One thing is for certain, this airplane was not hit by a missile,” Iran’s civil aviation chief Ali Abedzadeh said, adding that “any remarks made before the data is extracted (from the plane's black box flight recorders) ... is not an expert opinion.”

Mr. Abedzadeh said Tehran had invited “Americans, Canadians, the French, Ukrainians and the Swedish” to be present during the investigations, showing that “we are honest in our procedure”. He said the missile theory could not be “scientifically correct” because it was not possible for an airliner to be hit and “continue flying for 60 to 70 seconds”.

And “the debris collected has been in a very limited area. If there was an explosion in the wings it should have been much more scattered,” Mr. Abedzadeh added, noting that analysing the black box data “will take time”.",international,https://www.thehindu.com/news/international/dqloct/article30536747.ece/ALTERNATES/LANDSCAPE_615/10THRDIRAN1,https://www.thehindu.com/news/international/iranian-missile-downed-airliner-trudeau/article30536748.ece
7,2020/01/10,"13 killed, several injured in blast at mosque in Quetta","At least 13 people including a prayer leader and a police officer were killed in a powerful bomb blast at a mosque in Balochistan’s capital Quetta on Friday, just three days after a similar incident killed two persons in the city, according to media reports.

Several people have been injured in the incident which took place at the mosque in Quetta’s Satellite Town, The Express Tribune reported.

An emergency has been declared at all hospitals in the area.

The nature of the blast was being analysed, the report added.

The blast occurred three days after two men were killed and over a dozen injured in a blast near a vehicle of the security forces in Quetta.",international,https://www.thehindu.com/news/international/dnp5wq/article30536977.ece/ALTERNATES/LANDSCAPE_615/PAKISTANMOSQUE,https://www.thehindu.com/news/international/mosque-blast-kills-senior-police-officer-and-many-others-in-quetta/article30536394.ece
8,2020/01/10,Data indicates plane hit by missile: Boris,"British Prime Minister Boris Johnson said on Thursday that there was now “a body of information” that the Ukrainian Boeing 747 was brought down by an Iranian missile.

“There is now a body of information that the flight was shot down by an Iranian Surface to Air Missile. This may well have been unintentional,” Mr. Johnson said in a statement on the air disaster in which four British passengers died.

He reiterated the call for “all sides urgently to de-escalate to reduce tensions in the region.” “We are working closely with Canada and our international partners and there now needs to be a full, transparent investigation,” into the plane crash, he added.",international,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/international/data-indicates-plane-hit-by-missile-boris/article30536327.ece
9,2020/01/10,Donald Trump sends birthday greetings to North Korea’s Kim,"U.S. President Donald Trump wished North Korea’s Kim Jong-un a happy birthday, Seoul said on Friday, with nuclear talks deadlocked and six years after former Chicago Bulls star Dennis Rodman serenaded Pyongyang’s leader.

North Korea has never officially confirmed Mr. Kim’s age or date of birth, but Mr. Rodman’s breathy Marilyn Monroe-style performance of “Happy Birthday” took place before an exhibition basketball match in Pyongyang on January 8, 2014.

‘Born in 1984’

In a sanctions document, the U.S. Treasury has said Mr. Kim was born on that day in 1984, which would make him 36, but there is speculation he could be a year or two older.

Seoul’s national security adviser Chung Eui-yong met Mr. Trump in Washington on Wednesday and said the former real estate mogul — who in warmer times proclaimed he and Mr. Kim had fallen in love — “recalled” it was his birthday.

“President Trump wished Chairman Kim Jong-un a happy birthday and asked President Moon to convey it to him,” Mr. Chung told reporters as he arrived back in South Korea on Friday.

The message was delivered “in an appropriate manner”, he added.

Mr. Chung, however, did not explain how it had been transmitted.",international,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/international/donald-trump-sends-birthday-greetings-to-north-koreas-kim/article30536249.ece
10,2020/01/10,Iraq asks U.S. for team to prepare troop pullout,"Iraq’s caretaker premier Adel Abdel Mahdi has asked the United States to send a delegation to Baghdad to begin preparing for a troop pullout, his office said on Friday.

In a phone call late on Thursday with U.S. Secretary of State Mike Pompeo, Mr. Abdel Mahdi “requested that delegates be sent to Iraq to set the mechanisms to implement Parliament’s decision for the secure withdrawal of (foreign) forces from Iraq.”

Some 5,200 U.S. soldiers are stationed at bases across Iraq to support local troops preventing a resurgence of the Islamic State group.

They make up the bulk of a broader U.S.-led coalition, invited by the Iraqi government in 2014 to help combat the jihadists. Their deployment was based on an executive-to-executive agreement never ratified by Iraq’s Parliament.

But on Sunday, Iraq’s Parliament voted in favour of rescinding that invitation and ousting all foreign troops.

The following day, U.S. commanders sent a letter to their counterparts in Baghdad saying they were preparing for “movement out of Iraq”.

Signed copies

The letter said the coalition would “be repositioning forces over the course of the coming days and weeks to prepare for onward movement”.

The Pentagon said the letter was a draft sent by mistake but Mr. Abdel Mahdi disputed that account, saying his office had received signed and translated copies. He has demanded clarification from Washington of its intentions, while the U.S.-led coalition said on Thursday that it too was seeking clarity on the legal ramifications of Parliament’s vote.",international,https://www.thehindu.com/news/international/8wylhq/article30536194.ece/ALTERNATES/LANDSCAPE_615/10THRDMAHDI1,https://www.thehindu.com/news/international/iraq-asks-us-for-team-to-prepare-troop-pullout/article30536195.ece
11,2020/01/10,Lanka’s Rajapaksa orders investigation on previous govt’s corruption probe panels,"Sri Lankan President Gotabaya Rajapaksa on Friday ordered a presidential probe on the previous government’s anti-corruption panels which investigated the members of the Rajapaksa family including himself.

Two retired senior judges and a former police chief have been appointed to the panel which has been mandated to come out with a report within six months from January 9, according to a gazette issued by the government.

The work of the Financial Crime Division (FCID) of the police, the Bribery and Corruption Commission and the police’s special investigation units would come under the focus of the probe covering the period commencing January 9, 2015 to November 16, 2019, the day of the presidential election when Rajapaksa was elected president.

The probe panels of former president Maithripala Sirisena and ex-prime minister Ranil Wickremesinghe government investigated the members of the Rajapaksa family on the alleged misconduct during 2005 and 2015.

Many of them were arrested and remanded before securing bail. None of the cases have been concluded so far.

The probe would focus on whether any public service personnel had been politically victimised during the previous government through its probe panels.

The Sirisena/Wickremesinghe government was elected on its pledge to eradicate corruption and expose alleged corruption during the tenure of former president Mahinda Rajapaksa who was in office from November, 2005 to January, 2015.

The Rajapaksas cried foul over the investigations claiming they were part of the political witch-hunt. They were particularly critical of the FCID which they claimed had been set up illegally. The FCID launched investigations into alleged mass scale financial fraud.

The appointment of the special panel has come in the wake of the current political storm involving recorded telephone conversations between a parliamentarian of the last government and some of the judges and top police investigators on the probes between 2015 and 2019.

Parliamentarian Ranjan Ramanayake is being accused of exerting pressure on judges and investigators to fix members of the last Rajapaksa government.",international,https://www.thehindu.com/news/international/nly5p7/article30536070.ece/ALTERNATES/LANDSCAPE_615/10THRDGOTABAYA1,https://www.thehindu.com/news/international/lankas-rajapaksa-orders-investigation-on-previous-govts-corruption-probe-panels/article30536071.ece
